name,price,size,color,rpm,airflow,noise_level,pwm
Corsair iCUE SP120 RGB ELITE 3-Pack,61.99,120,Black / White,"400,1500",,,true
Lian Li Uni Fan SL-Infinity 3-Pack,89.99,120,Black,,"0,61.3","0,29",true
Noctua NF-A12x25 PWM chromax.black.swap,34.95,120,Black,"450,2000",60.09,22.6,true
Lian Li Uni Fan SL-Infinity 3-Pack,90.5,120,White,,"0,61.3","0,29",true
Lian Li UNI FAN SL V2 3-Pack,82.99,120,White / Silver,"250,2000",64.5,29.2,true
ARCTIC P12 PST 5-Pack,34.99,120,Black,"200,1800",56.3,22.5,true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,139.99,120,Black,"480,2400","16.44,63.1",,true
Thermalright TL-C12C-S X3 3-Pack,13.59,120,Black,1550,66.17,25.6,true
Lian Li UNI FAN SL V2 3-Pack,80.98,120,Black / Silver,"250,2000",64.5,29.2,true
Lian Li Uni Fan SL-Infinity,26.99,120,White,,"0,61.3","0,29",true
NZXT F120 RGB 3-Pack,99.98,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Lian Li Uni Fan SL-Infinity,44.19,120,Black,,"0,61.3","0,29",true
ARCTIC P12,8.99,120,Black,"200,1800",56.3,,true
NZXT F120 RGB 3-Pack,99.98,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,139.99,120,White,"480,2400","16.44,63.1",,true
Lian Li UNI FAN SL-INF Reverse Blade,,120,White / Black,"200,2100",63.6,32,true
Noctua A12x25 PWM,32.95,120,Brown,"450,2000","49.73,60.1","18.8,22.6",true
Thermalright TL-C12C X3 3-Pack,11.9,120,Black,1550,66.17,25.6,true
Noctua A14 PWM chromax.black.swap,26.95,140,Multicolor,"300,1500",82.52,24.6,true
be quiet! Silent Wings Pro 4,30.9,120,Black,3000,83.9,36.9,true
ARCTIC P12 Max,9.99,120,Black,"200,3300","81.04,84.04",,true
NZXT F120 RGB Core,27.5,120,White,"500,1800",78.86,33.88,true
Corsair iCUE SP120 RGB ELITE,24.93,120,Black / White,"400,1500",,,true
Corsair iCUE AF120 RGB ELITE 3-Pack,82.99,120,Black,"550,2100","13.8,65.57","5,34.1",true
Thermalright TL-C12CW-S X3 3-Pack,13.19,120,White,1550,66.17,25.6,true
Deepcool FC120-3 IN 1 3-Pack,25.99,120,Black,"500,1800",61.91,28,true
Corsair LL120 3-Pack,69.99,120,Black,"600,1500",43.25,24.8,true
NZXT F120 RGB Core,23.98,120,Black,"500,1800",78.86,33.88,true
Noctua P12 redux-1700 PWM,15.95,120,Gray,"450,1700",70.75,25.1,true
Lian Li UNI FAN SL V2,26.99,120,Black / Silver,"250,2000",64.5,29.2,true
Lian Li Uni Fan SL-Infinity,52.49,140,Black,"200,1600",72.7,28,true
be quiet! Pure Wings 2,10.9,120,Black,"500,1500","51.4,87",20.2,true
Lian Li Uni Fan SL-Infinity,34.99,140,White,"200,1600",72.7,28,true
ARCTIC P14 PST,12.99,140,Black,"200,1700",72.8,22.5,true
Noctua A14 PWM,23.95,140,Brown,"300,1500","68,82.5","19.2,24.6",true
Lian Li UNI FAN SL V2,32.5,120,White / Silver,"250,2000",64.5,29.2,true
ARCTIC P12 PST A-RGB 0dB 3-Pack,42.99,120,Black,,48.8,,true
Lian Li UNI FAN SL-INF Reverse Blade,,120,White,"200,2100",63.6,32,true
be quiet! Silent Wings Pro 4,31.9,140,Black,2400,97.41,36.8,true
Corsair iCUE SP RGB ELITE 3-Pack,62.99,120,White,"400,1500",47.73,28,true
Corsair LL120 3-Pack,69.98,120,White,2200,63,36,true
NZXT F120 RGB,24.99,120,White,"500,1800","13.94,50.18","17.2,27.5",true
Noctua F12 industrialPPC-3000 PWM,27.95,120,Brown / Black,"750,3000",109.89,43.5,true
ARCTIC P12 PST,10.49,120,White,"200,1800",56.3,,true
Deepcool FC120 WHITE-3 IN 1 3-Pack,34.99,120,White,"500,1800",61.91,28,true
Phanteks D30-120 Reversed 3-Pack,89.99,120,Black,"250,2000",61.5,31.8,true
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,119.99,140,Black,"400,2000","12.1,82.5",,true
Noctua A14 industrialPPC-3000 PWM,29.95,140,Brown / Black,"800,3000",158.5,41.3,true
Lian Li UNI FAN SL V2,29.99,140,Black / Silver,"250,1600",77.6,29,true
Corsair AF120 ELITE,19.23,120,Black,"400,1850","10.9,59.1",31.5,true
NZXT F120Q,21.88,120,Black,"500,1200","27.77,64","16.7,22.5",true
Noctua F12 PWM,21.78,120,Brown,"300,1500","43.73,54.97","18.6,22.4",true
NZXT F RGB Core 2-Pack,,140,White,"500,1800","24.85,89.48","20,32.5",true
Lian Li UNI FAN P28 3-Pack,54.9,120,Black,"200,2600","44.94,92","20.4,32.1",true
Lian Li UNI FAN AL120 V2 3-Pack,74.56,120,Black,"250,2000",77.3,28.7,true
Deepcool FK120 3-Pack,29.99,120,,"500,1850",68.99,28,true
NZXT F120 RGB DUO,32.99,120,Black,"500,1800",48.58,29,true
Cooler Master MasterFan MF Halo 3-Pack,49.99,120,Black,"650,1800",47.2,"6,30",true
Phanteks D30-120 Reversed 3-Pack,89.99,120,White,"250,2000",61.5,31.8,true
NZXT F140 RGB 2-Pack,63.99,140,Black,"500,1800","24.85,89.48","20,32.5",true
Asus TUF Gaming TF120 ARGB 3-Pack,42.99,120,Black / White,"250,1900",76,29,true
ARCTIC P14 PST 5-Pack,40.99,140,Black,"200,1700",72.8,22.5,true
be quiet! Light Wings PWM high-speed 3-Pack,54.9,120,Black,2500,52.3,31,true
Corsair iCUE AR120 Digital RGB 3-Pack,44.99,120,Black,"400,1850","10.7,59","10,27.3",true
Corsair iCUE AF120 RGB ELITE 3-Pack,85,120,White,"550,2100","13.8,65.57","5,34.1",true
Corsair iCUE QL120 3-Pack,118.99,120,Black,1500,41.8,26,true
Noctua A12x15 PWM chromax.black.swap,26.95,120,Black / Multicolor,"450,1850",55.44,23.9,true
Lian Li UNI FAN TL LCD 120 3-Pack,,120,Black,,90.1,33,true
ARCTIC P12 Slim PWM PST,8.99,120,Black,"300,2100",41.1,22.5,true
Lian Li UNI FAN AL120 V2 3-Pack,74,120,White,"250,2000",77.3,28.7,true
be quiet! Pure Wings 2,12.9,140,Black,"400,1000",61.2,19.8,true
Corsair SP120 ELITE,14.99,120,Black,"300,1300","6.37,45.4","5,20.6",true
ARCTIC P12 PST A-RGB 0dB,16.98,120,Black,,48.8,,true
NZXT F120 RGB DUO 3-Pack,93.99,120,Black,"500,1800",48.58,29,true
Corsair LL120,25.99,120,Black,"600,1500",43.25,24.8,true
Corsair iCUE AR120 Digital RGB 3-Pack,44.99,120,White,"400,1850","10.7,59","10,27.3",true
Phanteks D30-120,33.98,120,Black,"250,2000",64.3,30.2,true
Lian Li UNI FAN SL V2,28.99,140,White / Silver,"250,1600",77.6,29,true
Phanteks PH-F120T30 3-Pack,85.98,120,Black / Gray,,67,27.3,true
Phanteks D30-120 3-Pack,89.99,120,Black,"250,2000",64.3,30.2,true
Fractal Design Silent R2,,120,White,1200,40.6,15,false
NZXT F RGB Core 2-Pack,,140,Black,"500,1800","24.85,89.48","20,32.5",true
Thermalright TL-S12 X3 3-Pack,16.89,120,Black,1500,47.6,23.2,true
Cooler Master SickleFlow 3-Pack,48.44,120,Black,"650,1800",62,"8,27",true
ARCTIC P12 Slim PWM PST 3-Pack,23.63,120,Black,"300,2100",42.1,22.5,true
NZXT F120 RGB DUO 3-Pack,124.73,120,White,"500,1800",48.58,29,true
Corsair iCUE AF120 RGB SLIM,27.99,120,Black,"600,2000","13.4,56.3",27.5,true
Thermaltake SWAFAN EX12 ARGB 3-Pack,79.98,120,White,"500,2000","56.26,57.11","30.6,32.5",true
Lian Li UNI SL120 3-Pack,104,120,Black,"800,1900",58.54,"17,31",true
ARCTIC P14 PWM PST A-RGB,21.99,140,Black,,"0,68",,true
Phanteks PH-F120T30,32.98,120,Black / Gray,,67,27.3,true
Phanteks D30-120 Reversed,33.98,120,Black,"250,2000",61.5,31.8,true
Lian Li UNI SL120 3-Pack,,120,White,"800,1900",58.54,"17,31",true
ARCTIC P14 PST,12.99,140,White,"200,1700",72.8,22.5,true
Noctua F12 PWM chromax.black.swap,24.75,120,Multicolor,"300,1500",54.97,22.4,true
be quiet! Silent Wings 4,19.89,120,Black,1600,48.7,18.9,true
Corsair iCUE ML RGB ELITE Premium 3-Pack,64,120,Black,"450,2000","14.86,58.1","10,30.4",true
Phanteks D30-120,33.98,120,White,"250,2000",64.3,30.2,true
Lian Li UNI FAN AL120 V2,19.99,120,White,"250,2000",77.3,28.7,true
Cooler Master SickleFlow,18.03,120,Black,"650,1800",62,"8,27",true
Corsair AF140L,4.99,140,Black / Gray,1000,67.43,,false
