name,price,core_count,socket,core_clock,boost_clock,tdp,graphics,smt
AMD 5350,120,4,AM1,2.05,,25,Radeon HD 8400,false
AMD 2650,169,2,AM1,1.45,,25,Radeon HD 8240,false
AMD 3850,,4,AM1,1.3,,25,Radeon HD 8280,false
AMD A6-9500,89.95,2,AM4,3.5,3.8,65,Radeon R5 (on die),false
AMD Ryzen 3 2200G,,4,AM4,3.5,3.7,65,Radeon Vega 8,false
AMD Ryzen 7 2700,,8,AM4,3.2,4.1,65,,true
AMD Athlon 200GE,,2,AM4,3.2,,35,Radeon Vega 3,true
AMD A12-9800,160,4,AM4,3.8,4.2,65,Radeon R7 (on-die),false
AMD Ryzen 3 1200 (12nm),,4,AM4,3.1,3.4,65,,false
AMD Athlon 3000G (14nm),,2,AM4,3.5,,35,Radeon Vega 3,true
AMD A12-9800E,138.02,4,AM4,3.1,3.8,35,Radeon R7 (on-die),false
AMD A6-9500E,,2,AM4,3,3.4,35,Radeon R5 (on die),false
AMD Ryzen 7 1800X,,8,AM4,3.6,4,95,,true
AMD Athlon 220GE,,2,AM4,3.4,,35,Radeon Vega 3,true
AMD Athlon 240GE,,2,AM4,3.5,,35,Radeon Vega 3,true
AMD Ryzen 7 1800X,,8,AM4,3.6,4,95,,true
AMD Athlon 240GE,,2,AM4,3.5,,35,Radeon Vega 3,true
AMD Athlon 220GE,,2,AM4,3.4,,35,Radeon Vega 3,true
AMD A6-9550,,2,AM4,3.8,4,65,Radeon R5 (on die),false
AMD Athlon X4 940,,4,AM4,3.2,3.6,65,,false
AMD Athlon X4 970,,4,AM4,3.8,4,65,,false
AMD A6-9550,,2,AM4,3.8,4,65,Radeon R5 (on die),false
AMD Athlon X4 940,,4,AM4,3.2,3.6,65,,false
AMD Ryzen 7 7800X3D,362.25,8,AM5,4.2,5,120,Radeon,true
AMD Ryzen 5 7600X,228,6,AM5,4.7,5.3,105,Radeon,true
AMD Ryzen 5 7600,229,6,AM5,3.8,5.1,65,Radeon,true
AMD Ryzen 7 7700X,298.99,8,AM5,4.5,5.4,105,Radeon,true
AMD Ryzen 9 7950X3D,599,16,AM5,4.2,5.7,120,Radeon,true
AMD Ryzen 9 7900X,382.28,12,AM5,4.7,5.6,170,Radeon,true
AMD Ryzen 9 7950X,549.99,16,AM5,4.5,5.7,170,Radeon,true
AMD Ryzen 7 7700,299,8,AM5,3.6,5.3,65,Radeon,true
AMD Ryzen 9 7900X3D,409.98,12,AM5,4.4,5.6,120,Radeon,true
AMD Ryzen 5 7500F,,6,AM5,3.7,5,65,,true
AMD Ryzen 7 8700G,329,8,AM5,4.2,5.1,65,Radeon 780M,true
AMD Ryzen 5 8500G,179,6,AM5,4.1,5,65,Radeon 740M,true
AMD Ryzen 9 7900,369,12,AM5,3.6,5.4,65,Radeon,true
AMD Ryzen 5 8600G,229,6,AM5,4.3,5,65,Radeon 760M,true
AMD Ryzen 9 PRO 7945,,12,AM5,3.7,5.4,65,Radeon,true
AMD Ryzen 5 PRO 7645,,6,AM5,3.8,5.1,65,Radeon,true
AMD Ryzen 7 PRO 7745,,8,AM5,3.8,5.3,65,Radeon,true
AMD Ryzen 7 PRO 7745,,8,AM5,3.8,5.3,65,Radeon,true
AMD A8-3870K,,4,FM1,3,,100,Radeon HD 6550D,false
AMD A8-3850,,4,FM1,2.9,,100,Radeon HD 6550D,false
AMD A4-3400,134.09,2,FM1,2.7,,65,Radeon HD 6410D,false
Intel Core i9-9900KS,1989,8,LGA1151,4,5,127,Intel UHD Graphics 630,true
Intel Core i3-9100F,115,4,LGA1151,3.6,4.2,65,,false
Intel Core i3-8100,110,4,LGA1151,3.6,,65,Intel UHD Graphics 630,false
Intel Core i7-9700F,299,8,LGA1151,3,4.7,65,,false
Intel Core i5-7600K,221.13,4,LGA1151,3.8,4.2,91,Intel HD Graphics 630,false
Intel Core i5-8500,175,6,LGA1151,3,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-9400,179.91,6,LGA1151,2.9,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-6400,,4,LGA1151,2.7,3.3,65,Intel HD Graphics 530,false
Intel Core i5-9600KF,210.12,6,LGA1151,3.7,4.6,95,,false
Intel Core i7-9700KF,300,8,LGA1151,3.6,4.9,95,,false
Intel Core i3-7350K,72.8,2,LGA1151,4.2,,60,Intel HD Graphics 630,true
Intel Core i3-6100,100,2,LGA1151,3.7,,51,Intel HD Graphics 530,true
Intel Celeron G4900,48.59,2,LGA1151,3.1,,65,Intel UHD Graphics 610,false
Intel Core i7-8700K,254.5,6,LGA1151,3.7,4.7,95,Intel UHD Graphics 630,true
Intel Core i5-6600,,4,LGA1151,3.3,3.9,65,Intel HD Graphics 530,false
Intel Core i9-9900,330,8,LGA1151,3.1,5,65,Intel UHD Graphics 630,true
Intel Core i5-7600,124,4,LGA1151,3.5,4.1,65,Intel HD Graphics 630,false
Intel Core i5-9400F,,6,LGA1151,2.9,4.1,65,,false
Intel Core i3-7100,82.8,2,LGA1151,3.9,,51,Intel HD Graphics 630,true
Intel Core i5-6500,,4,LGA1151,3.2,3.6,65,Intel HD Graphics 530,false
Intel Core i9-9900K,954.81,8,LGA1151,3.6,5,95,Intel UHD Graphics 630,true
Intel Core i5-9500,169,6,LGA1151,3,4.4,65,Intel UHD Graphics 630,false
Intel Core i5-8400,249.95,6,LGA1151,2.8,4,65,Intel UHD Graphics 630,false
Intel Core i7-8700,,6,LGA1151,3.2,4.6,65,Intel UHD Graphics 630,true
Intel Core i7-8086K,456,6,LGA1151,4,5,95,Intel UHD Graphics 630,true
