name,price,type,frequency_response,microphone,wireless,enclosure_type,color
HiFiMAN Susvara,5999,Circumaural,"6,75",false,false,Open,Silver / Brown
HP HyperX Cloud II,109.99,Circumaural,"15,25",true,false,Closed,Black / Red
Razer BlackShark V2 X,49.99,Circumaural,"12,28",true,false,Closed,Black / Green
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",313.33,Circumaural,"10,40",true,true,Closed,Black
Logitech Pro X,110.99,Circumaural,"20,20",true,false,Closed,Black
Beyerdynamic DT 770 PRO,169,Circumaural,"5,35",false,false,Closed,Gray
Logitech PRO X 2 LIGHTSPEED,249.99,Circumaural,"20,20",true,true,Closed,Black
HP HyperX Cloud,,Circumaural,"15,25",true,false,Closed,Black / White
Razer BlackShark V2 Pro (2023),199.99,Circumaural,"12,28",true,true,Closed,Black
Logitech G733,119.99,Circumaural,"20,20",true,true,Closed,White / Gray
SteelSeries Arctis 1,81,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis 1,49.95,Circumaural,"20,20",true,false,Closed,Black
Logitech G432,38.95,Circumaural,"20,20",true,false,Closed,Black / Blue
Logitech PRO X 2 LIGHTSPEED,241.99,Circumaural,"20,20",true,true,Closed,White
Logitech G435,49.99,Circumaural,"20,20",true,true,Closed,Black / Yellow
Beyerdynamic DT 990 Pro 250,,Circumaural,"5,35",false,false,Open,Black / Gray
Corsair Virtuoso RGB,199.99,Circumaural,"20,40",true,true,Closed,White
Sennheiser HD 820,1999.95,Circumaural,"6,48",false,false,Closed,Black
HP HyperX Cloud Alpha,79.98,Circumaural,"13,27",true,false,Closed,Black / Red
Corsair VOID RGB ELITE,79.98,Circumaural,"20,30",true,true,Closed,Black
Astro A50 + Base Station,239.12,Circumaural,"20,20",true,true,Closed,Black / Gold
Sony XM5,398,Circumaural,"4,40",true,true,Closed,Black
SteelSeries Arctis Nova 7,145.99,Circumaural,"20,22",true,true,Closed,Black
Beyerdynamic DT990 Premium Limited-Edition,159,Circumaural,"5,35",false,false,Open,Black
Corsair VIRTUOSO RGB Wireless XT,179.99,Circumaural,"20,40",true,true,Closed,Black / Silver
Logitech G733,119.99,Circumaural,"20,20",true,true,Closed,Black
Razer Kraken V3 X,39.97,Circumaural,"12,28",true,false,Closed,Black
Corsair VOID RGB ELITE,79.98,Circumaural,"20,30",true,true,Closed,White
SteelSeries Arctis Pro,198.05,Circumaural,"10,40",true,true,Closed,Black
Sennheiser HD 560S,219.33,Circumaural,"6,38",false,false,Open,Black
Razer BlackShark V2 Pro,129.99,Circumaural,"12,28",true,true,Closed,Black
SteelSeries Arctis Nova 1,49.99,Circumaural,"20,22",true,false,Closed,White
Audio-Technica ATH-M50x,149,Circumaural,"15,28",false,false,Closed,Black / Silver
Beyerdynamic DT 900 Pro X,188.79,Circumaural,"5,40",false,false,Open,Black / Gray
Corsair HS80 RGB,119.99,Circumaural,"20,40",true,true,Closed,Black
HP HyperX Cloud II,99.99,Circumaural,"15,20",true,true,Closed,Black / Red
Asus ROG Theta 7.1,299.99,Circumaural,"20,40",true,false,Closed,Black
HP HyperX Cloud Alpha,169,Circumaural,"15,21",true,true,Closed,Black / Red
HP HyperX Cloud II,,Circumaural,"15,25",true,false,Closed,Gunmetal
Razer BlackShark V2 Pro (2023),199.99,Circumaural,"12,28",true,true,Closed,White / Black
Sennheiser HD 800 S,1577.79,Circumaural,"4,51",false,false,Open,Black / Silver
Razer Kraken Kitty,99.99,Circumaural,"20,20",true,false,Closed,Pink
Logitech G935,117.01,Circumaural,"20,20",true,true,Closed,Black / Blue
Razer Barracuda X,99.99,Circumaural,"20,20",true,true,Closed,Black
Beyerdynamic DT1990 Pro,529,Circumaural,"5,40",false,false,Open,Black
Turtle Beach EAR FORCE Recon 50X,28.98,Circumaural,"20,20",true,false,Closed,Black / Green
SteelSeries Arctis 7,239.99,Circumaural,"20,20",true,true,Closed,Black
Corsair HS65 SURROUND,39.99,Circumaural,"20,20",true,false,Closed,Black
Logitech G535 LIGHTSPEED,99.99,Circumaural,"20,20",true,true,Closed,Black / Blue
Razer Barracuda Pro,219.95,Circumaural,"20,20",true,true,Closed,Black
SteelSeries Arctis Pro Wireless,,Circumaural,"10,40",true,true,Closed,White
SteelSeries Arctis Nova 1,49.99,Circumaural,"20,22",true,false,Closed,Black
Sony WH1000XM4,348,Circumaural,"20,20",true,true,Closed,Black
Razer Barracuda X,99,Circumaural,"20,20",true,true,Closed,White / Gray
Logitech Pro X,179.9,Circumaural,"20,20",true,true,Closed,Black
HP HyperX Cloud III,95.07,Circumaural,"10,21",true,false,Closed,Black
Razer Kraken V3 Pro,149.99,Circumaural,"20,20",true,true,Closed,Black
Corsair HS80 MAX WIRELESS,179.99,Circumaural,"20,40",true,true,Closed,Gray / Black
Sennheiser HD 650,317,Circumaural,"10,39.5",false,false,Open,Black
Astro Gaming A40 TR + MixAmp Pro TR,394.95,Circumaural,"20,20",true,false,Closed,Black / Gold
Yamaha EPH-20PI,4.99,In Ear,"20,21",false,false,Closed,Black / Pink
"SteelSeries Arctis Nova Pro Wireless for Xbox X|S, and Xbox One",309.99,Circumaural,"10,40",true,true,Closed,Black
DROP Drop + Sennheiser PC38X,180,Circumaural,"10,30",true,false,Open,Black
Audeze Maxwell for Xbox Series X|S,,Circumaural,"10,50",true,true,Closed,Black / Green
Sennheiser HD600,298,Circumaural,"12,39",false,false,Open,Black
Logitech G332,33.98,Circumaural,"20,20",true,false,Closed,Black / Red
Razer BlackShark V2,166.5,Circumaural,"12,28",true,false,Closed,Black / Green
Corsair Virtuoso RGB SE,229.99,Circumaural,"20,40",true,true,Closed,Black
Turtle Beach Stealth 700 Gen 2 MAX,179.99,Circumaural,"20,22",true,true,Closed,Black / Silver
SteelSeries Arctis 9,,Circumaural,"20,20",true,true,Closed,Black
Corsair HS70 PRO,99.99,Circumaural,"20,20",true,true,Closed,Black
HP HyperX CloudX,49.99,Circumaural,"15,25",true,false,Closed,Black / Silver
Corsair Virtuoso RGB,199.99,Circumaural,"20,40",true,true,Closed,Black
Razer NARI ULTIMATE,109.99,Circumaural,"20,20",true,true,Closed,Black / Green
Audeze Maxwell for PlayStation 5,,Circumaural,"10,50",true,true,Closed,Black / Blue
Logitech G PRO,,Circumaural,"20,20",true,false,Closed,Black
HP HyperX Cloud Stinger Core - Wireless,75.76,Circumaural,"10,21",true,true,Closed,Black
HiFiMAN HE1000,1999,Circumaural,"8,65",false,false,Open,Silver / Brown
