name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980 Pro,159.99,2000,0.08,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,94.98,1000,0.095,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,62.75,1000,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,99.99,1000,0.1,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,184.99,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,64.98,2000,0.032,7200,256,3.5,SATA 6.0 Gb/s
Crucial P3,59.95,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850X,139.94,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,349.99,4000,0.087,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,64.99,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,123.48,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,75.95,1000,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,59.99,500,0.12,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,94.99,1000,0.095,SSD,1024,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 750,2488.87,1200,2.074,SSD,,PCIe,PCIe x4
Western Digital Black SN770,124.99,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,2049.29,16000,0.128,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black SN850X,309.99,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,119.99,1000,0.12,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,84.99,4000,0.021,5400,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X,84.99,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Z44L,72.04,1000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,39.99,500,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,64,1000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,1098.99,8000,0.137,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,,2000,,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,109.99,2000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,169.99,2000,0.085,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,44.99,1000,0.045,7200,64,3.5,SATA 6.0 Gb/s
Crucial T700,499.99,4000,0.125,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,399.99,22000,0.018,7200,512,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,38.99,512,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,53.44,1000,0.053,7200,64,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,159.99,2000,0.08,SSD,2048,2.5,SATA 6.0 Gb/s
Samsung 870 Evo,309.99,4000,0.077,SSD,4096,2.5,SATA 6.0 Gb/s
Western Digital Blue SN570,85.49,1000,0.085,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC3000,175.44,2048,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,223.99,4000,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,94.99,1000,0.095,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,549.99,22000,0.025,7200,512,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,98.97,2000,0.049,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,64.98,1000,0.065,SSD,1024,2.5,SATA 6.0 Gb/s
Samsung 870 QVO,579.99,8000,0.072,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,102,2000,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,124.85,1000,0.125,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,101.21,1024,0.099,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,118.99,2000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,44.99,500,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,119,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,52.99,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
Corsair MP600 CORE XT,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,109.99,8000,0.014,5400,256,3.5,SATA 6.0 Gb/s
Kingston A400,33.75,240,0.141,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700,297.95,2000,0.149,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980 Pro,89.99,500,0.18,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,179.99,1000,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 Pro w/Heatsink,309.99,4000,0.077,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea Zero Z440 Graphene,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,59.99,2000,0.03,7200,256,3.5,SATA 6.0 Gb/s
SK Hynix Platinum P41,159.99,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,56.99,1000,0.057,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN570,39.99,500,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP34,194.99,4000,0.049,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Momentus Thin,13.99,500,0.028,5400,16,2.5,SATA 3.0 Gb/s
Crucial T700 W/Heatsink,529.99,4000,0.132,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial MX500,129.99,2000,0.065,SSD,2048,2.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,899.99,8000,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,20.99,256,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,39.99,480,0.083,SSD,,2.5,SATA 6.0 Gb/s
Patriot P300,31.49,512,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Fury Renegade,186.55,2000,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP33 PRO,61.99,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP34,102.99,2000,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo Plus,64.99,250,0.26,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980 Pro w/Heatsink,165.99,2000,0.083,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,64.98,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,41.99,500,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,153.53,2000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus,66.47,500,0.133,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE XT,269.99,4000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M450,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,139.99,4000,0.035,7200,256,3.5,SATA 6.0 Gb/s
Western Digital Black SN770,54.99,500,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,54.99,500,0.11,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro w/Heatsink,204.82,2000,0.102,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4 Plus,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,119.99,1000,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,61.97,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Solidigm P41 Plus,64.5,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
KIOXIA EXCERIA G2,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X18,259.99,18000,0.014,7200,256,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,139.99,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,149.99,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
Western Digital Blue,76,1000,0.076,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP700,154.99,1000,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial MX500,229.99,4000,0.057,SSD,,2.5,SATA 6.0 Gb/s
Leven JPS600,96.99,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,49.99,500,0.1,SSD,512,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70 Blade,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,99.97,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X20,309.99,20000,0.015,7200,256,3.5,SATA 6.0 Gb/s
PNY CS1030,54.99,1000,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,87.51,1000,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,53.99,1000,0.054,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,84.99,1000,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,57.99,1000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE,1298,4000,0.325,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P2,71.98,1000,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,34.99,250,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 860 Evo,97.99,500,0.196,SSD,512,2.5,SATA 6.0 Gb/s
Lexar NM620,42.99,512,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP EX2,1799.99,16000,0.112,SSD,,2.5,SATA 6.0 Gb/s
Kingston A400,66.98,960,0.07,SSD,,2.5,SATA 6.0 Gb/s
Patriot P300,14.99,128,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,99.99,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,61.99,1000,0.062,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP Cardea A440,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro w/Heatsink,109.99,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700,259.99,2000,0.13,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 850 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s
