name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core RGB,43.54,Gaming,,RGB,false,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Microsoft Natural Desktop 7000,799.95,Ergonomic,,,false,Wireless,Black / Silver
Corsair K60 RGB Pro,54.99,Gaming,Cherry Viola,RGB,false,Wired,Black
RK Royal Kludge RK61,42.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
SteelSeries Apex Pro TKL (2023),222.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 Lightspeed,195.77,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
Logitech K120,11.99,Standard,,,false,Wired,Black
Redragon K552,40.99,Gaming,Outemu Blue,Red,true,Wired,Black
Razer Huntsman Mini,109.99,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
Corsair K95 RGB PLATINUM,238,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
SteelSeries Apex Pro,199.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Corsair K55 RGB PRO,49.88,Gaming,,Multicolor,false,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,true,Wired,Black
Corsair K70 RGB PRO,169.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech G413 SE,44.99,Gaming,Kailh LT Brown,White,true,Wired,Black
HP HyperX Alloy Origins Core,69.98,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G715,179.5,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 TKL,156,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Asus ROG Azoth,221.99,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K100 RGB,195.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Logitech G213 PRODIGY,49.99,Gaming,,RGB,false,Wired,Black
Asus ROG CLAYMORE II,319.99,Gaming,ROG RX Red Optical,RGB,false,Wireless,Black
SteelSeries Apex Pro TKL (2023),189.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Verbatim 99201,10,Standard,,,false,Wired,Black
SteelSeries Apex 3 TKL RGB,34.97,Gaming,,RGB,true,Wired,Black
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Logitech G PRO,79.98,Gaming,GX Blue,RGB,true,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
