name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance LPX 16 GB,47.99,"4,3200","2,8",2.999,Black / Yellow,10,16
Corsair Vengeance 32 GB,124.99,"5,5600","2,16",3.906,Black,12.857,36
Corsair Vengeance RGB Pro 32 GB,99.99,"4,3600","2,16",3.125,Black,10,18
G.Skill Trident Z5 RGB 32 GB,114.99,"5,6000","2,16",3.593,Black,12,36
G.Skill Trident Z5 RGB 64 GB,214.99,"5,6400","2,32",3.359,Black / Silver,10,32
Corsair Vengeance LPX 32 GB,81.99,"4,3600","2,16",2.562,Black / Yellow,10,18
Corsair Vengeance RGB 32 GB,134.99,"5,6000","2,16",4.218,White,12,36
G.Skill Flare X5 32 GB,97,"5,6000","2,16",3.031,Black,12,36
Corsair Vengeance RGB Pro 16 GB,53.99,"4,3200","2,8",3.374,Black,10,16
Corsair Vengeance RGB 32 GB,129.99,"5,6000","2,16",4.062,Black,13.333,40
TEAMGROUP T-Force Delta RGB 32 GB,109.99,"5,6000","2,16",3.437,White,10,30
G.Skill Ripjaws V 32 GB,66.98,"4,3200","2,16",2.093,Black,10,16
Corsair Vengeance LPX 16 GB,39.99,"4,3600","2,8",2.499,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",2.061,Black / Gray,10,16
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,Black,10,30
Corsair Vengeance 16 GB,69.98,"5,5200","2,8",4.374,Black,15.385,40
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black / Gray,10,30
Corsair Vengeance RGB Pro SL 32 GB,94.99,"4,3600","2,16",2.968,White / Black,10,18
Corsair Vengeance 64 GB,169.99,"5,5200","2,32",2.656,Black,15.385,40
Corsair Vengeance LPX 32 GB,66.98,"4,3200","2,16",2.093,Black / Yellow,10,16
TEAMGROUP T-Force Vulcan Z 16 GB,35.99,"4,3200","2,8",2.249,Black,10,16
G.Skill Trident Z5 Neo RGB 32 GB,117.99,"5,6000","2,16",3.687,Black,10,30
Corsair Vengeance RGB Pro 64 GB,,"4,3200","4,16",,Black,10,16
Corsair Vengeance RGB 32 GB,105.99,"5,6000","2,16",3.312,Black,12,36
Corsair Vengeance RGB Pro 16 GB,64.98,"4,3200","2,8",4.061,White,10,16
Kingston FURY Beast 16 GB,48.9,"4,3200","2,8",3.056,Black,10,16
G.Skill Flare X5 32 GB,102.99,"5,6000","2,16",3.218,Black,10,30
G.Skill Ripjaws V 16 GB,47.99,"4,3600","2,8",2.999,Black,8.889,16
Silicon Power GAMING 32 GB,54.97,"4,3200","2,16",1.718,Black,10,16
G.Skill Ripjaws V 16 GB,40.99,"4,3200","2,8",2.562,Black,10,16
G.Skill Trident Z5 Neo 64 GB,199.99,"5,6000","2,32",3.125,Black / Silver,10,30
Corsair Vengeance 32 GB,102.99,"5,5200","2,16",3.218,Black,15.385,40
TEAMGROUP T-Force Vulcan Z 32 GB,63.99,"4,3600","2,16",2,Black,10,18
G.Skill Trident Z RGB 32 GB,81.96,"4,3200","2,16",2.561,Black,10,16
G.Skill Trident Z5 RGB 32 GB,129.99,"5,7200","2,16",4.062,Black,9.444,34
Corsair Dominator Platinum 32 GB,1674.47,"4,2666","4,8",52.327,Black / Silver,11.253,15
G.Skill Trident Z5 RGB 32 GB,119.99,"5,6400","2,16",3.75,Black,10,32
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"4,3600","2,16",2.187,White,10,18
Crucial Pro 32 GB,108.72,"5,5600","2,16",3.397,Black,16.429,46
Corsair Vengeance RGB 32 GB,119.99,"5,6000","2,16",3.75,Gray,10,30
Corsair Vengeance LPX 64 GB,119.99,"4,3200","2,32",1.875,Black / Yellow,10,16
Corsair Dominator Platinum RGB 32 GB,174.99,"5,6200","2,16",5.468,White,11.613,36
Corsair Vengeance RGB 128 GB,449.99,"5,5600","4,32",3.516,Black,14.286,40
TEAMGROUP T-Force Delta RGB 16 GB,51.99,"4,3600","2,8",3.249,Black,10,18
Corsair Dominator Titanium 64 GB,319.99,"5,6600","2,32",5,White,9.697,32
Corsair Vengeance 64 GB,214.99,"5,6400","2,32",3.359,Black / Gray,10,32
Silicon Power Value Gaming 32 GB,94.97,"5,6000","2,16",2.968,Black,10,30
Kingston FURY Beast 32 GB,134.99,"5,6000","2,16",4.218,Black,12,36
G.Skill Ripjaws V 32 GB,76.98,"4,3600","2,16",2.406,Black,8.889,16
ADATA XPG Lancer Blade 32 GB,172.59,"5,6000","2,16",5.393,Black,10,30
G.Skill Trident Z RGB 16 GB,56.99,"4,3600","2,8",3.562,Black,10,18
Corsair Vengeance RGB 64 GB,219.99,"5,6000","2,32",3.437,Black,10,30
Kingston FURY Beast 32 GB,81.99,"4,3200","2,16",2.562,Black,10,16
