name,price,socket,form_factor,max_memory,memory_slots,color
MSI B550 GAMING GEN3,109.99,AM4,ATX,128,4,Black
Asus ROG STRIX B650-A GAMING WIFI,229.99,AM5,ATX,192,4,Black / Silver
MSI B650 GAMING PLUS WIFI,179.99,AM5,ATX,192,4,Black
Gigabyte B650 AORUS ELITE AX,199.99,AM5,ATX,192,4,Black / Silver
MSI B760 GAMING PLUS WIFI,159.99,LGA1700,ATX,192,4,Black / Silver
Asus ROG STRIX B550-F GAMING WIFI II,169.99,AM4,ATX,128,4,Black / Red
ASRock B660M Pro RS,94.99,LGA1700,Micro ATX,128,4,Gray / Black
Gigabyte Z790 AORUS ELITE AX,249.99,LGA1700,ATX,192,4,Black
Asus PRIME B550M-A WIFI II,129.99,AM4,Micro ATX,128,4,Blue / Silver
MSI MAG B650 TOMAHAWK WIFI,213.18,AM5,ATX,192,4,Black
Gigabyte B550M K,84.99,AM4,Micro ATX,128,4,Brown / Silver
Gigabyte B650 GAMING X AX,187.93,AM5,ATX,192,4,Black / Gray
MSI MAG Z790 TOMAHAWK WIFI,255.99,LGA1700,ATX,192,4,Black
MSI PRO B650M-A WIFI,149.99,AM5,Micro ATX,192,4,Black
MSI PRO B550M-VC WIFI,119.99,AM4,Micro ATX,128,4,Black
MSI MAG B550 TOMAHAWK MAX WIFI,179.99,AM4,ATX,128,4,Silver / Black
MSI PRO B760-P WIFI DDR4,159.99,LGA1700,ATX,128,4,Black
MSI PRO Z790-A MAX WIFI,259.99,LGA1700,ATX,192,4,Silver / Black
Asus ROG MAXIMUS Z790 DARK HERO,687,LGA1700,ATX,192,4,Black
Asus TUF GAMING B550-PLUS WIFI II,154.94,AM4,ATX,128,4,Black / Gray
ASRock B650M Pro RS WiFi,208.61,AM5,Micro ATX,192,4,Black / Silver
MSI PRO Z790-P WIFI,179.99,LGA1700,ATX,192,4,Black / Silver
MSI B450M PRO-VDH MAX,74.98,AM4,Micro ATX,64,4,Black / Silver
ASRock B650M Pro RS,129.99,AM5,Micro ATX,192,4,Black / Silver
Asus ROG STRIX B650E-F GAMING WIFI,252.75,AM5,ATX,192,4,Black
MSI B550M PRO-VDH WIFI,109.99,AM4,Micro ATX,128,4,Black
MSI B550-A PRO,119.99,AM4,ATX,128,4,Black / Silver
MSI MAG X670E TOMAHAWK WIFI,279.99,AM5,ATX,192,4,Black
MSI B450M-A PRO MAX II,69.99,AM4,Micro ATX,64,2,Black
ASRock B550M Pro4,99.99,AM4,Micro ATX,128,4,Silver / Black
Asus ROG ZENITH II EXTREME ALPHA,2059,sTRX4,EATX,256,8,Black / Silver
Asus ROG STRIX B760-I GAMING WIFI,199.03,LGA1700,Mini ITX,96,2,Black
Asus ROG STRIX Z790-A GAMING WIFI II,359.99,LGA1700,ATX,192,4,Black / Silver
MSI PRO H610M-G DDR4,89,LGA1700,Micro ATX,64,2,Black / Silver
Asus TUF GAMING B650-PLUS WIFI,199.99,AM5,ATX,128,4,Black
Asus ROG STRIX B550-A GAMING,159.99,AM4,ATX,128,4,Black / White
MSI PRO B760M-P DDR4,99.99,LGA1700,Micro ATX,128,4,Black
Asus Prime B450M-A II,79.98,AM4,Micro ATX,128,4,
ASRock A620M Pro RS WiFi,124.99,AM5,Micro ATX,192,4,Silver / Black
Asus TUF GAMING Z790-PLUS WIFI,229.99,LGA1700,ATX,192,4,Black / Gray
ASRock B650I Lightning Wifi,,AM5,Mini ITX,96,2,Black
Gigabyte B650M DS3H,139.99,AM5,Micro ATX,192,4,Brown / Black
MSI MPG B550 GAMING PLUS,149.99,AM4,ATX,128,4,Black
Gigabyte X670 AORUS ELITE AX (rev. 1.0),233.96,AM5,ATX,192,4,Black
MSI PRO B650-P WIFI,198.5,AM5,ATX,192,4,Black
Asus ROG STRIX Z790-E GAMING WIFI,399.99,LGA1700,ATX,192,4,Black
Gigabyte A520I AC,109.99,AM4,Mini ITX,64,2,Black
Gigabyte B760M DS3H AX,129.99,LGA1700,Micro ATX,192,4,Black
Gigabyte B650 AORUS ELITE AX ICE,229.99,AM5,ATX,192,4,Silver
Gigabyte B650M AORUS ELITE AX,179.99,AM5,Micro ATX,192,4,Black
NZXT N7 B650E,316.99,AM5,ATX,128,4,White
Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,Micro ATX,128,4,Black / Orange
MSI MAG B550 TOMAHAWK,156.97,AM4,ATX,128,4,Black / Silver
Gigabyte B550 GAMING X V2,129.99,AM4,ATX,128,4,Black
ASRock A520M-HDV,68.98,AM4,Micro ATX,64,2,Black / Silver
Gigabyte B450M DS3H WIFI,84.99,AM4,Micro ATX,64,4,Brown / Black
