name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 HERO,48.58,Optical,Wired,25600,Right,Black
Logitech G Pro X Superlight,126.6,Optical,Wireless,25400,Right,Black
Logitech G305 (Black),48.97,Optical,Wireless,12000,Right,Black
FinalMouse Air58 Ninja,574.99,Optical,Wired,3200,Right,Blue
Razer Basilisk V3,49.59,Optical,Wired,26000,Right,Black
Logitech PRO X Superlight 2,154.86,Optical,"Wired, Wireless",32000,Right,Black
Logitech G502 LIGHTSPEED,102.09,Optical,Wireless,25600,Right,Black
Logitech G203 Lightsync,29.85,Optical,Wired,8000,Right,Black
Logitech G Pro X Superlight,119,Optical,Wireless,25400,Right,White
Logitech PRO X Superlight 2,156.08,Optical,"Wired, Wireless",32000,Right,White
Logitech G305 (White),49.98,Optical,Wireless,12000,Right,White
Logitech G Pro Wireless,105.05,Optical,Wireless,25600,Both,Black
Razer DeathAdder Essential,25.75,Optical,Wired,6400,Right,White
Corsair M65 RGB ELITE,29,Optical,Wired,17997,Right,Black
Razer Basilisk X HyperSpeed,53.99,Optical,Wireless,16000,Right,Black / Green
Logitech G502 X Plus,155.66,Optical,"Wired, Wired, Wireless",25600,Right,Black
Razer Basilisk V3 Pro + Mouse Dock Pro,199.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech G502 X Plus,155.69,Optical,"Wired, Wired, Wireless",25600,Right,White
Razer DeathAdder V3 Pro,145.35,Optical,Wireless,30000,Right,Black
SteelSeries Rival 3,24.99,Optical,Wired,8500,Right,Black
Glorious MODEL O,,Optical,Wired,12000,Right,Black
Razer Viper V2 Pro,138.6,Optical,Wireless,30000,Right,Black
Razer DeathAdder Essential,52.29,Optical,Wired,6400,Right,Black / Green
Razer Viper Ultimate w/Dock,156.9,Optical,Wireless,20000,Both,Black
Glorious Model O-,64.99,Optical,"Wired, Wireless",19000,Right,White
Razer DeathAdder V3,69.98,Optical,Wired,30000,Right,Black
Razer Viper V2 Pro,135,Optical,Wireless,30000,Right,White
Logitech G703 LIGHTSPEED,74.63,Optical,Wireless,25600,Right,Black
Logitech MX MASTER 3S,99.99,Optical,Wireless,8000,Right,Gray
Glorious Model O,,Optical,Wireless,19000,Right,White
Corsair NIGHTSWORD RGB,69.98,Optical,Wired,18000,Right,Black
Logitech B100,7.99,Optical,Wired,800,,Black
Razer DeathAdder V2,85.01,Optical,Wired,20000,Right,Black
Razer Basilisk V3 Pro,143.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Verbatim 98616 Go Mini Travel Commuter,4.99,Optical,Wired,,Both,Blue
Logitech G700s,390.44,Laser,Wireless,8200,Right,Black
Asus ROG Chakram X Origin,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Black
Glorious MODEL O,,Optical,Wired,12000,Right,White
Corsair DARK CORE RGB PRO SE,99.99,Optical,Wireless,18000,Right,Black
Razer Viper Ultimate,149.99,Optical,Wireless,20000,Both,White
Logitech G502 X,113,Optical,"Wired, Wired, Wireless",25600,Right,Black
Razer Viper Mini,,Optical,Wired,8500,Right,Black
Logitech G203 Lightsync,29,Optical,Wired,8000,Right,White
Logitech G305 LIGHTSPEED,60.58,Optical,Wireless,12000,Right,Black
Logitech G502 Proteus Spectrum,66.98,Optical,Wired,12000,Right,Black
Redragon COBRA M711,19.98,Optical,Wired,10000,Right,Black / Multicolor
Corsair HARPOON RGB,44.99,Optical,Wireless,10000,Right,Black
Logitech M90,7,Optical,Wired,1000,Both,Black
Corsair SCIMITAR RGB ELITE,59.99,Optical,Wired,18000,Right,Black
Razer DeathAdder V2 Pro,,Optical,Wireless,20000,Right,Black
Razer Viper 8KHz,99,Optical,Wired,20000,Both,Black
Glorious Model O-,64.99,Optical,"Wired, Wireless",19000,Right,Black
Corsair HARPOON RGB PRO,24.99,Optical,Wired,12000,Right,Black
Razer DeathAdder V3 Pro,138,Optical,Wireless,30000,Right,White
SteelSeries Rival 5,35.99,Optical,Wired,18000,Right,Black
SteelSeries Aerox 5,139.99,Optical,"Wired, Wired, Wireless, Bluetooth Wireless",18000,Right,Black
HP HyperX Pulsefire Haste,39.97,Optical,Wired,16000,Right,Black
Asus ROG HARPE ACE AIM LAB EDITION,119.99,Optical,"Wired, Wireless",36000,Right,Black
Razer Naga V2 Pro,179.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech G502 X,54.99,Optical,Wired,25600,Right,Black
Logitech G402,33.99,Optical,Wired,4000,Right,Black
Razer Basilisk V3 Pro,156.52,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White / Black
Corsair M65 RGB ULTRA WIRELESS,99.99,Optical,Wireless,26000,Right,Black / Silver
Glorious Model O 2,74.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Razer Naga Trinity,85.99,Optical,Wired,16000,Right,Black
SteelSeries Aerox 3,245.05,Optical,Bluetooth Wireless,18000,Right,Black
Razer DeathAdder V2 X HyperSpeed,54.9,Optical,"Wireless, Bluetooth Wireless",14000,Right,Black
Razer Orochi V2,56.55,Optical,Wireless,18000,Right,White
Logitech G502 X,59.99,Optical,Wired,25600,Right,White
Logitech TrackMan,389.95,Trackball,Wireless,,Right,Black / Silver
EVGA X20,19.98,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black / Silver
Glorious MODEL D,49.99,Optical,Wired,12000,Right,Black
Logitech MX Master 3,112,Laser,Wireless,4000,Right,Black / Silver
HP HyperX Pulsefire Core RGB,29.99,Optical,Wired,6200,Right,Black
SteelSeries Aerox 9,130,Optical,Wireless,18000,Right,Black
MSI CLUTCH,16.48,Optical,Wired,4200,Right,Black
Razer Orochi 2013,,Laser,Bluetooth Wireless,6400,Both,Black
